chrBase	chr	base	strand	coverage	freqC	freqT
chr1.202833315	chr1	202833315	R	11	0.00	100.00
chr1.202833323	chr1	202833323	R	23	100.00	0.00
chr1.202833367	chr1	202833367	R	26	100.00	0.00
chr1.202833371	chr1	202833371	R	23	0.00	100.00
chr2.33419147	chr2	33419147	R	34	0.00	100.00
chr2.33419155	chr2	33419155	R	70	68.57	31.43
chr2.33419199	chr2	33419199	R	70	0.00	100.00
chr2.33419203	chr2	33419203	R	66	0.00	100.00
chr2.33419211	chr2	33419211	R	66	68.18	31.82
chr2.33419215	chr2	33419215	R	64	89.06	10.94
chr2.127877184	chr2	127877184	F	31	100.00	0.00
chr2.127877194	chr2	127877194	F	30	90.00	10.00
chr2.127877212	chr2	127877212	F	31	100.00	0.00
chr2.127877217	chr2	127877217	F	31	100.00	0.00
chr2.127877225	chr2	127877225	F	15	0.00	100.00
chr3.52024730	chr3	52024730	R	14	0.00	100.00
chr3.52024744	chr3	52024744	R	30	66.67	33.33
chr4.190008866	chr4	190008866	F	21	80.95	19.05
chr4.190008870	chr4	190008870	F	20	5.00	95.00
chr4.190008878	chr4	190008878	F	22	36.36	63.64
chr4.190008882	chr4	190008882	F	22	72.73	27.27
chr4.190008902	chr4	190008902	F	21	71.43	28.57
chr4.190008926	chr4	190008926	F	22	90.91	9.09
chr4.190008935	chr4	190008935	F	11	0.00	100.00
chr6.27607882	chr6	27607882	R	16	37.50	62.50
chr6.27607914	chr6	27607914	R	15	86.67	13.33
chr6.27607918	chr6	27607918	R	14	85.71	14.29
chr6.163009709	chr6	163009709	R	39	61.54	38.46
chr6.163009729	chr6	163009729	R	38	0.00	100.00
chr6.163009733	chr6	163009733	R	38	0.00	100.00
chr6.163009741	chr6	163009741	R	39	79.49	20.51
chr6.163009745	chr6	163009745	R	38	0.00	100.00
chr7.23085532	chr7	23085532	F	36	100.00	0.00
chr7.23085536	chr7	23085536	F	35	100.00	0.00
chr7.23085568	chr7	23085568	F	38	100.00	0.00
chr7.23085573	chr7	23085573	F	37	100.00	0.00
chr7.23085581	chr7	23085581	F	18	0.00	100.00
chr7.99024568	chr7	99024568	R	38	0.00	100.00
chr7.99024597	chr7	99024597	R	38	89.47	10.53
chr7.99024608	chr7	99024608	R	38	78.95	21.05
chr7.99024613	chr7	99024613	R	39	0.00	100.00
chr7.99024637	chr7	99024637	R	38	60.53	39.47
chr7.99024641	chr7	99024641	R	38	78.95	21.05
