chrBase	chr	base	strand	coverage	freqC	freqT
chr1.202833315	chr1	202833315	R	32	0.00	100.00
chr1.202833323	chr1	202833323	R	69	100.00	0.00
chr1.202833367	chr1	202833367	R	73	100.00	0.00
chr1.202833371	chr1	202833371	R	72	0.00	100.00
chr2.33419147	chr2	33419147	R	19	0.00	100.00
chr2.33419155	chr2	33419155	R	39	5.13	94.87
chr2.33419199	chr2	33419199	R	40	97.50	2.50
chr2.33419203	chr2	33419203	R	38	89.47	10.53
chr2.33419211	chr2	33419211	R	38	0.00	100.00
chr2.33419215	chr2	33419215	R	39	74.36	25.64
chr2.127877184	chr2	127877184	F	32	100.00	0.00
chr2.127877194	chr2	127877194	F	34	100.00	0.00
chr2.127877212	chr2	127877212	F	32	100.00	0.00
chr2.127877217	chr2	127877217	F	32	100.00	0.00
chr2.127877225	chr2	127877225	F	17	0.00	100.00
chr3.12010813	chr3	12010813	F	15	0.00	100.00
chr6.27607850	chr6	27607850	R	22	0.00	100.00
chr6.27607882	chr6	27607882	R	45	71.11	28.89
chr6.27607914	chr6	27607914	R	45	68.89	31.11
chr6.27607918	chr6	27607918	R	45	77.78	22.22
chr7.23085532	chr7	23085532	F	67	100.00	0.00
chr7.23085536	chr7	23085536	F	69	46.38	53.62
chr7.23085568	chr7	23085568	F	69	91.30	8.70
chr7.23085573	chr7	23085573	F	68	100.00	0.00
chr7.23085581	chr7	23085581	F	34	0.00	100.00
chr7.99024568	chr7	99024568	R	49	0.00	100.00
chr7.99024597	chr7	99024597	R	48	66.67	33.33
chr7.99024608	chr7	99024608	R	48	0.00	100.00
chr7.99024613	chr7	99024613	R	50	0.00	100.00
chr7.99024637	chr7	99024637	R	50	52.00	48.00
chr7.99024641	chr7	99024641	R	50	74.00	26.00
chr7.123340086	chr7	123340086	F	28	71.43	28.57
chr7.123340098	chr7	123340098	F	28	42.86	57.14
chr7.123340100	chr7	123340100	F	26	84.62	15.38
chr7.123340102	chr7	123340102	F	25	68.00	32.00
chr7.123340122	chr7	123340122	F	27	70.37	29.63
chr7.123340146	chr7	123340146	F	27	51.85	48.15
chr7.123340154	chr7	123340154	F	13	0.00	100.00
chr8.25164078	chr8	25164078	F	20	0.00	100.00
chr8.25164082	chr8	25164082	F	19	73.68	26.32
chr8.25164102	chr8	25164102	F	19	68.42	31.58
chr8.68131295	chr8	68131295	R	16	0.00	100.00
chr8.68131363	chr8	68131363	R	32	84.38	15.62
chr9.26806618	chr9	26806618	F	42	100.00	0.00
chr9.26806622	chr9	26806622	F	39	100.00	0.00
chr9.26806630	chr9	26806630	F	42	95.24	4.76
chr9.26806667	chr9	26806667	F	41	95.12	4.88
chr9.26806678	chr9	26806678	F	39	87.18	12.82
chr9.103465481	chr9	103465481	F	19	0.00	100.00
chr9.103465485	chr9	103465485	F	21	57.14	42.86
chr9.103465497	chr9	103465497	F	20	50.00	50.00
chr9.103465517	chr9	103465517	F	22	0.00	100.00
chr9.103465524	chr9	103465524	F	21	61.90	38.10
chr10.67315706	chr10	67315706	F	73	86.30	13.70
chr10.67315710	chr10	67315710	F	74	97.30	2.70
chr10.67315718	chr10	67315718	F	72	0.00	100.00
chr10.67315742	chr10	67315742	F	73	76.71	23.29
chr10.67315766	chr10	67315766	F	71	91.55	8.45
chr13.66900652	chr13	66900652	R	16	75.00	25.00
chr13.66900676	chr13	66900676	R	18	66.67	33.33
chr13.66900696	chr13	66900696	R	18	55.56	44.44
chr13.66900700	chr13	66900700	R	17	100.00	0.00
chr13.66900708	chr13	66900708	R	17	88.24	11.76
chr13.66900712	chr13	66900712	R	16	81.25	18.75
chr13.110940329	chr13	110940329	F	76	0.00	100.00
chr13.110940331	chr13	110940331	F	75	0.00	100.00
chr13.110940341	chr13	110940341	F	78	0.00	100.00
chr13.110940385	chr13	110940385	F	79	0.00	100.00
chr15.54137378	chr15	54137378	F	30	56.67	43.33
chr18.50041833	chr18	50041833	F	19	73.68	26.32
chr18.50041849	chr18	50041849	F	19	57.89	42.11
chr18.50041869	chr18	50041869	F	19	57.89	42.11
chr18.50041893	chr18	50041893	F	20	80.00	20.00
chr21.9437432	chr21	9437432	F	19	94.74	5.26
chr21.9437444	chr21	9437444	F	31	80.65	19.35
chr21.9437458	chr21	9437458	F	35	77.14	22.86
chr21.9437461	chr21	9437461	F	36	69.44	30.56
