chrBase	chr	base	strand	coverage	freqC	freqT
chr1.202833315	chr1	202833315	R	16	6.25	93.75
chr1.202833323	chr1	202833323	R	37	89.19	10.81
chr1.202833367	chr1	202833367	R	37	100.00	0.00
chr1.202833371	chr1	202833371	R	38	0.00	100.00
chr2.127877184	chr2	127877184	F	137	100.00	0.00
chr2.127877194	chr2	127877194	F	133	97.74	2.26
chr2.127877212	chr2	127877212	F	134	2.99	97.01
chr2.127877217	chr2	127877217	F	134	100.00	0.00
chr2.127877225	chr2	127877225	F	65	0.00	100.00
chr3.78837367	chr3	78837367	R	31	67.74	32.26
chr3.78837391	chr3	78837391	R	29	65.52	34.48
chr3.78837411	chr3	78837411	R	32	56.25	43.75
chr3.78837415	chr3	78837415	R	31	38.71	61.29
chr3.78837423	chr3	78837423	R	31	0.00	100.00
chr4.190008866	chr4	190008866	F	12	0.00	100.00
chr4.190008870	chr4	190008870	F	12	66.67	33.33
chr4.190008878	chr4	190008878	F	11	45.45	54.55
chr4.190008882	chr4	190008882	F	12	83.33	16.67
chr4.190008902	chr4	190008902	F	11	72.73	27.27
chr4.190008926	chr4	190008926	F	12	50.00	50.00
chr6.27607882	chr6	27607882	R	10	100.00	0.00
chr6.27607914	chr6	27607914	R	10	80.00	20.00
chr6.163009709	chr6	163009709	R	50	56.00	44.00
chr6.163009729	chr6	163009729	R	48	0.00	100.00
chr6.163009733	chr6	163009733	R	47	57.45	42.55
chr6.163009741	chr6	163009741	R	51	49.02	50.98
chr6.163009745	chr6	163009745	R	49	0.00	100.00
chr7.23085532	chr7	23085532	F	14	100.00	0.00
chr7.23085536	chr7	23085536	F	13	100.00	0.00
chr7.23085568	chr7	23085568	F	12	0.00	100.00
chr7.23085573	chr7	23085573	F	14	100.00	0.00
chr7.123340086	chr7	123340086	F	60	83.33	16.67
chr7.123340098	chr7	123340098	F	58	70.69	29.31
chr7.123340100	chr7	123340100	F	60	58.33	41.67
chr7.123340102	chr7	123340102	F	60	76.67	23.33
chr7.123340122	chr7	123340122	F	59	71.19	28.81
chr7.123340146	chr7	123340146	F	59	67.80	32.20
chr7.123340154	chr7	123340154	F	29	0.00	100.00
chr8.25164078	chr8	25164078	F	14	85.71	14.29
chr8.25164082	chr8	25164082	F	13	0.00	100.00
chr8.25164102	chr8	25164102	F	12	66.67	33.33
chr8.68131295	chr8	68131295	R	33	0.00	100.00
chr8.68131363	chr8	68131363	R	74	44.59	55.41
chr9.26806618	chr9	26806618	F	66	92.42	7.58
chr9.26806622	chr9	26806622	F	68	97.06	2.94
chr9.26806630	chr9	26806630	F	70	85.71	14.29
chr9.26806667	chr9	26806667	F	67	5.97	94.03
chr9.26806678	chr9	26806678	F	69	11.59	88.41
chr9.103465481	chr9	103465481	F	66	0.00	100.00
chr9.103465485	chr9	103465485	F	65	89.23	10.77
chr9.103465497	chr9	103465497	F	67	74.63	25.37
chr9.103465517	chr9	103465517	F	66	60.61	39.39
chr9.103465524	chr9	103465524	F	68	41.18	58.82
chr9.103465549	chr9	103465549	F	33	0.00	100.00
chr10.67315742	chr10	67315742	F	10	40.00	60.00
chr10.67315766	chr10	67315766	F	10	80.00	20.00
chr13.110940329	chr13	110940329	F	37	0.00	100.00
chr13.110940331	chr13	110940331	F	42	0.00	100.00
chr13.110940341	chr13	110940341	F	40	0.00	100.00
chr13.110940385	chr13	110940385	F	41	0.00	100.00
chr16.17599839	chr16	17599839	F	30	90.00	10.00
chr16.17599843	chr16	17599843	F	32	62.50	37.50
chr16.17599849	chr16	17599849	F	33	90.91	9.09
chr16.17599867	chr16	17599867	F	32	0.00	100.00
chr16.17599872	chr16	17599872	F	33	0.00	100.00
chr17.1349987	chr17	1349987	R	39	71.79	28.21
chr17.1350011	chr17	1350011	R	39	79.49	20.51
chr17.1350035	chr17	1350035	R	40	0.00	100.00
chr17.1350043	chr17	1350043	R	39	0.00	100.00
chr17.1350047	chr17	1350047	R	39	38.46	61.54
chr17.9742223	chr17	9742223	F	10	0.00	100.00
chr18.50041833	chr18	50041833	F	12	83.33	16.67
chr18.50041849	chr18	50041849	F	11	63.64	36.36
chr18.50041869	chr18	50041869	F	12	16.67	83.33
chr18.50041893	chr18	50041893	F	11	45.45	54.55
chr21.9437432	chr21	9437432	F	13	92.31	7.69
chr21.9437444	chr21	9437444	F	22	0.00	100.00
chr21.9437458	chr21	9437458	F	25	68.00	32.00
chr21.9437461	chr21	9437461	F	25	84.00	16.00
chr21.9437464	chr21	9437464	F	24	83.33	16.67
chr21.9437470	chr21	9437470	F	25	68.00	32.00
chr21.9437472	chr21	9437472	F	26	53.85	46.15
chr21.9437488	chr21	9437488	F	24	83.33	16.67
chr21.9437516	chr21	9437516	F	20	0.00	100.00
chr21.9437518	chr21	9437518	F	24	100.00	0.00
chr21.9437530	chr21	9437530	F	13	92.31	7.69
chr21.9437532	chr21	9437532	F	13	92.31	7.69
chr21.9437535	chr21	9437535	F	13	0.00	100.00
chr21.9437445	chr21	9437445	R	14	92.86	7.14
chr21.9437459	chr21	9437459	R	18	0.00	100.00
chr21.9437462	chr21	9437462	R	18	0.00	100.00
chr21.9437465	chr21	9437465	R	18	77.78	22.22
chr21.9437471	chr21	9437471	R	16	81.25	18.75
chr21.9437473	chr21	9437473	R	14	100.00	0.00
chr21.9437489	chr21	9437489	R	17	70.59	29.41
chr21.9437517	chr21	9437517	R	17	100.00	0.00
chr21.9437519	chr21	9437519	R	16	100.00	0.00
chr21.9437531	chr21	9437531	R	12	41.67	58.33
chr21.9439678	chr21	9439678	R	10	0.00	100.00
chr21.9439685	chr21	9439685	R	12	0.00	100.00
chr21.9487528	chr21	9487528	F	15	53.33	46.67
chr21.9487714	chr21	9487714	F	12	83.33	16.67
chr21.9487715	chr21	9487715	R	20	60.00	40.00
chr21.9487741	chr21	9487741	R	20	50.00	50.00
chr21.9540282	chr21	9540282	F	23	73.91	26.09
chr21.9540320	chr21	9540320	F	25	96.00	4.00
chr21.9540324	chr21	9540324	F	22	0.00	100.00
chr21.9540330	chr21	9540330	F	25	72.00	28.00
chr21.9540372	chr21	9540372	F	13	0.00	100.00
chr21.9540321	chr21	9540321	R	14	85.71	14.29
chr21.9540325	chr21	9540325	R	14	57.14	42.86
chr21.9540331	chr21	9540331	R	14	57.14	42.86
chr21.9540373	chr21	9540373	R	12	83.33	16.67
chr21.9540739	chr21	9540739	F	10	80.00	20.00
chr21.9541149	chr21	9541149	F	30	90.00	10.00
chr21.9541171	chr21	9541171	F	32	75.00	25.00
chr21.9541212	chr21	9541212	F	14	0.00	100.00
chr21.9541150	chr21	9541150	R	13	7.69	92.31
chr21.9541172	chr21	9541172	R	27	37.04	62.96
chr21.9541213	chr21	9541213	R	25	68.00	32.00
chr21.9543419	chr21	9543419	R	15	0.00	100.00
chr21.9543488	chr21	9543488	R	34	52.94	47.06
chr21.9543503	chr21	9543503	R	30	66.67	33.33
chr21.9574765	chr21	9574765	F	10	80.00	20.00
chr21.9578745	chr21	9578745	F	35	68.57	31.43
chr21.9578749	chr21	9578749	F	36	69.44	30.56
chr21.9578751	chr21	9578751	F	36	0.00	100.00
chr21.9578761	chr21	9578761	F	35	68.57	31.43
chr21.9578794	chr21	9578794	F	64	65.62	34.38
chr21.9578805	chr21	9578805	F	61	55.74	44.26
chr21.9578839	chr21	9578839	F	54	59.26	40.74
chr21.9578850	chr21	9578850	F	34	0.00	100.00
chr21.9578750	chr21	9578750	R	31	61.29	38.71
chr21.9578752	chr21	9578752	R	31	54.84	45.16
chr21.9578762	chr21	9578762	R	31	83.87	16.13
chr21.9578795	chr21	9578795	R	53	75.47	24.53
chr21.9578806	chr21	9578806	R	57	61.40	38.60
chr21.9578840	chr21	9578840	R	51	41.18	58.82
chr21.9578851	chr21	9578851	R	30	76.67	23.33
chr21.9578880	chr21	9578880	R	30	93.33	6.67
chr21.9593782	chr21	9593782	R	14	71.43	28.57
chr21.9647716	chr21	9647716	F	54	66.67	33.33
chr21.9647763	chr21	9647763	F	35	0.00	100.00
chr21.9647787	chr21	9647787	F	12	66.67	33.33
chr21.9647941	chr21	9647941	F	23	56.52	43.48
chr21.9647974	chr21	9647974	F	26	61.54	38.46
chr21.9647997	chr21	9647997	F	24	45.83	54.17
chr21.9647717	chr21	9647717	R	21	0.00	100.00
chr21.9647764	chr21	9647764	R	39	87.18	12.82
chr21.9647975	chr21	9647975	R	10	80.00	20.00
chr21.9652926	chr21	9652926	F	25	68.00	32.00
chr21.9652937	chr21	9652937	F	24	0.00	100.00
chr21.9652972	chr21	9652972	F	24	79.17	20.83
chr21.9653025	chr21	9653025	F	37	0.00	100.00
chr21.9652938	chr21	9652938	R	12	58.33	41.67
chr21.9652973	chr21	9652973	R	11	90.91	9.09
chr21.9653026	chr21	9653026	R	11	90.91	9.09
chr21.9653102	chr21	9653102	R	12	58.33	41.67
chr21.9664765	chr21	9664765	F	13	61.54	38.46
chr21.9664679	chr21	9664679	R	15	20.00	80.00
chr21.9664712	chr21	9664712	R	15	0.00	100.00
chr21.9664766	chr21	9664766	R	25	56.00	44.00
chr21.9664822	chr21	9664822	R	15	73.33	26.67
chr21.9695485	chr21	9695485	F	13	38.46	61.54
chr21.9695557	chr21	9695557	F	17	70.59	29.41
chr21.9695558	chr21	9695558	R	12	83.33	16.67
chr21.9702329	chr21	9702329	F	22	72.73	27.27
chr21.9702339	chr21	9702339	F	22	0.00	100.00
chr21.9702345	chr21	9702345	F	22	72.73	27.27
chr21.9702369	chr21	9702369	F	22	27.27	72.73
chr21.9702401	chr21	9702401	F	37	64.86	35.14
chr21.9702415	chr21	9702415	F	38	68.42	31.58
chr21.9702470	chr21	9702470	F	21	85.71	14.29
chr21.9702480	chr21	9702480	F	19	68.42	31.58
chr21.9702485	chr21	9702485	F	22	72.73	27.27
chr21.9702491	chr21	9702491	F	155	75.48	24.52
chr21.9702509	chr21	9702509	F	165	76.97	23.03
chr21.9702520	chr21	9702520	F	165	84.24	15.76
chr21.9702529	chr21	9702529	F	160	53.75	46.25
chr21.9702575	chr21	9702575	F	72	0.00	100.00
chr21.9702340	chr21	9702340	R	26	42.31	57.69
chr21.9702346	chr21	9702346	R	27	55.56	44.44
chr21.9702370	chr21	9702370	R	27	48.15	51.85
chr21.9702402	chr21	9702402	R	49	51.02	48.98
chr21.9702416	chr21	9702416	R	49	59.18	40.82
chr21.9702471	chr21	9702471	R	28	67.86	32.14
chr21.9702481	chr21	9702481	R	27	48.15	51.85
chr21.9702486	chr21	9702486	R	28	64.29	35.71
chr21.9702492	chr21	9702492	R	27	55.56	44.44
chr21.9704094	chr21	9704094	R	18	0.00	100.00
chr21.9704112	chr21	9704112	R	35	88.57	11.43
chr21.9704138	chr21	9704138	R	34	73.53	26.47
chr21.9704144	chr21	9704144	R	35	77.14	22.86
chr21.9704364	chr21	9704364	R	11	54.55	45.45
chr21.9704371	chr21	9704371	R	11	81.82	18.18
chr21.9704385	chr21	9704385	R	11	63.64	36.36
chr21.9704393	chr21	9704393	R	11	72.73	27.27
chr21.9704423	chr21	9704423	R	21	66.67	33.33
chr21.9704431	chr21	9704431	R	20	75.00	25.00
chr21.9704471	chr21	9704471	R	10	70.00	30.00
chr21.9704477	chr21	9704477	R	10	50.00	50.00
chr21.9704509	chr21	9704509	R	11	0.00	100.00
chr21.9704514	chr21	9704514	R	11	63.64	36.36
chr21.9708982	chr21	9708982	F	14	42.86	57.14
chr21.9708995	chr21	9708995	F	13	15.38	84.62
chr21.9709006	chr21	9709006	F	14	85.71	14.29
chr21.9709019	chr21	9709019	F	13	84.62	15.38
chr21.9709034	chr21	9709034	F	14	71.43	28.57
chr21.9718407	chr21	9718407	R	17	58.82	41.18
chr21.9825467	chr21	9825467	F	22	63.64	36.36
chr21.9825471	chr21	9825471	F	21	71.43	28.57
chr21.9825490	chr21	9825490	F	19	0.00	100.00
chr21.9825495	chr21	9825495	F	20	0.00	100.00
chr21.9825498	chr21	9825498	F	22	90.91	9.09
chr21.9825506	chr21	9825506	F	21	61.90	38.10
chr21.9825514	chr21	9825514	F	11	0.00	100.00
chr21.9825539	chr21	9825539	F	57	3.51	96.49
chr21.9825546	chr21	9825546	F	56	51.79	48.21
chr21.9825550	chr21	9825550	F	59	77.97	22.03
chr21.9825568	chr21	9825568	F	59	52.54	47.46
chr21.9825572	chr21	9825572	F	61	0.00	100.00
chr21.9825575	chr21	9825575	F	61	77.05	22.95
chr21.9825579	chr21	9825579	F	61	47.54	52.46
chr21.9825582	chr21	9825582	F	59	67.80	32.20
chr21.9825600	chr21	9825600	F	59	72.88	27.12
chr21.9825604	chr21	9825604	F	63	0.00	100.00
chr21.9825612	chr21	9825612	F	46	28.26	71.74
chr21.9825620	chr21	9825620	F	20	0.00	100.00
chr21.9825624	chr21	9825624	F	19	10.53	89.47
chr21.9825636	chr21	9825636	F	18	27.78	72.22
chr21.9825646	chr21	9825646	F	18	0.00	100.00
chr21.9825468	chr21	9825468	R	17	0.00	100.00
chr21.9825472	chr21	9825472	R	35	0.00	100.00
chr21.9825491	chr21	9825491	R	33	69.70	30.30
chr21.9825496	chr21	9825496	R	35	45.71	54.29
chr21.9825499	chr21	9825499	R	33	33.33	66.67
chr21.9825507	chr21	9825507	R	34	0.00	100.00
chr21.9825515	chr21	9825515	R	32	0.00	100.00
chr21.9825540	chr21	9825540	R	37	0.00	100.00
chr21.9825547	chr21	9825547	R	76	0.00	100.00
chr21.9825551	chr21	9825551	R	75	0.00	100.00
chr21.9825569	chr21	9825569	R	72	69.44	30.56
chr21.9825573	chr21	9825573	R	76	67.11	32.89
chr21.9825576	chr21	9825576	R	70	2.86	97.14
chr21.9825580	chr21	9825580	R	77	54.55	45.45
chr21.9825583	chr21	9825583	R	77	45.45	54.55
chr21.9825601	chr21	9825601	R	79	79.75	20.25
chr21.9825605	chr21	9825605	R	76	0.00	100.00
chr21.9825613	chr21	9825613	R	82	0.00	100.00
chr21.9825621	chr21	9825621	R	18	66.67	33.33
chr21.9825625	chr21	9825625	R	17	76.47	23.53
chr21.9825637	chr21	9825637	R	17	0.00	100.00
chr21.9825647	chr21	9825647	R	18	88.89	11.11
chr21.9825653	chr21	9825653	R	18	0.00	100.00
chr21.9825779	chr21	9825779	F	17	64.71	35.29
chr21.9825786	chr21	9825786	F	22	81.82	18.18
chr21.9825793	chr21	9825793	F	21	71.43	28.57
chr21.9825796	chr21	9825796	F	22	72.73	27.27
chr21.9825798	chr21	9825798	F	21	52.38	47.62
chr21.9825802	chr21	9825802	F	21	100.00	0.00
chr21.9825814	chr21	9825814	F	20	50.00	50.00
chr21.9825820	chr21	9825820	F	10	0.00	100.00
chr21.9825780	chr21	9825780	R	12	0.00	100.00
chr21.9825787	chr21	9825787	R	23	39.13	60.87
chr21.9825794	chr21	9825794	R	23	91.30	8.70
chr21.9825797	chr21	9825797	R	23	0.00	100.00
chr21.9825799	chr21	9825799	R	23	0.00	100.00
chr21.9825803	chr21	9825803	R	22	72.73	27.27
chr21.9825815	chr21	9825815	R	21	0.00	100.00
chr21.9825821	chr21	9825821	R	23	39.13	60.87
chr21.9825944	chr21	9825944	F	21	0.00	100.00
chr21.9825950	chr21	9825950	F	22	0.00	100.00
chr21.9825954	chr21	9825954	F	24	66.67	33.33
chr21.9825958	chr21	9825958	F	24	100.00	0.00
chr21.9825960	chr21	9825960	F	24	0.00	100.00
chr21.9825964	chr21	9825964	F	24	0.00	100.00
chr21.9825975	chr21	9825975	F	23	65.22	34.78
chr21.9825980	chr21	9825980	F	24	83.33	16.67
chr21.9825992	chr21	9825992	F	23	73.91	26.09
chr21.9825995	chr21	9825995	F	11	0.00	100.00
chr21.9825955	chr21	9825955	R	10	0.00	100.00
chr21.9825959	chr21	9825959	R	10	80.00	20.00
chr21.9825961	chr21	9825961	R	10	0.00	100.00
chr21.9825976	chr21	9825976	R	10	80.00	20.00
chr21.9825981	chr21	9825981	R	10	0.00	100.00
chr21.9826146	chr21	9826146	F	48	0.00	100.00
chr21.9826150	chr21	9826150	F	45	0.00	100.00
chr21.9826153	chr21	9826153	F	44	0.00	100.00
chr21.9826156	chr21	9826156	F	49	0.00	100.00
chr21.9826159	chr21	9826159	F	47	70.21	29.79
chr21.9826170	chr21	9826170	F	48	68.75	31.25
chr21.9826179	chr21	9826179	F	44	0.00	100.00
chr21.9826181	chr21	9826181	F	43	0.00	100.00
chr21.9826186	chr21	9826186	F	44	0.00	100.00
chr21.9826189	chr21	9826189	F	47	6.38	93.62
chr21.9826194	chr21	9826194	F	49	63.27	36.73
chr21.9826198	chr21	9826198	F	45	66.67	33.33
chr21.9826201	chr21	9826201	F	49	63.27	36.73
chr21.9826203	chr21	9826203	F	46	54.35	45.65
chr21.9826205	chr21	9826205	F	47	55.32	44.68
chr21.9826207	chr21	9826207	F	47	44.68	55.32
chr21.9826211	chr21	9826211	F	45	4.44	95.56
chr21.9826215	chr21	9826215	F	47	55.32	44.68
chr21.9826219	chr21	9826219	F	45	77.78	22.22
chr21.9826221	chr21	9826221	F	46	54.35	45.65
chr21.9826226	chr21	9826226	F	23	0.00	100.00
chr21.9826239	chr21	9826239	F	34	0.00	100.00
chr21.9826247	chr21	9826247	F	31	74.19	25.81
chr21.9826251	chr21	9826251	F	33	51.52	48.48
chr21.9826255	chr21	9826255	F	32	31.25	68.75
chr21.9826258	chr21	9826258	F	32	75.00	25.00
chr21.9826265	chr21	9826265	F	33	0.00	100.00
chr21.9826272	chr21	9826272	F	33	69.70	30.30
chr21.9826279	chr21	9826279	F	33	90.91	9.09
chr21.9826287	chr21	9826287	F	16	0.00	100.00
chr21.9826386	chr21	9826386	F	33	48.48	51.52
chr21.9826392	chr21	9826392	F	33	0.00	100.00
chr21.9826396	chr21	9826396	F	33	54.55	45.45
chr21.9826411	chr21	9826411	F	36	50.00	50.00
chr21.9826414	chr21	9826414	F	36	0.00	100.00
chr21.9826421	chr21	9826421	F	35	65.71	34.29
chr21.9826436	chr21	9826436	F	35	0.00	100.00
chr21.9826440	chr21	9826440	F	34	0.00	100.00
chr21.9826442	chr21	9826442	F	36	61.11	38.89
chr21.9826446	chr21	9826446	F	34	0.00	100.00
chr21.9826449	chr21	9826449	F	17	0.00	100.00
chr21.9826147	chr21	9826147	R	13	0.00	100.00
chr21.9826151	chr21	9826151	R	31	0.00	100.00
chr21.9826154	chr21	9826154	R	35	68.57	31.43
chr21.9826157	chr21	9826157	R	35	65.71	34.29
chr21.9826160	chr21	9826160	R	35	48.57	51.43
chr21.9826171	chr21	9826171	R	34	52.94	47.06
chr21.9826180	chr21	9826180	R	33	75.76	24.24
chr21.9826182	chr21	9826182	R	34	0.00	100.00
chr21.9826187	chr21	9826187	R	31	67.74	32.26
chr21.9826190	chr21	9826190	R	32	0.00	100.00
chr21.9826195	chr21	9826195	R	34	88.24	11.76
chr21.9826199	chr21	9826199	R	33	78.79	21.21
chr21.9826202	chr21	9826202	R	35	0.00	100.00
chr21.9826204	chr21	9826204	R	31	0.00	100.00
chr21.9826206	chr21	9826206	R	33	0.00	100.00
chr21.9826208	chr21	9826208	R	36	72.22	27.78
chr21.9826212	chr21	9826212	R	34	76.47	23.53
chr21.9826216	chr21	9826216	R	34	29.41	70.59
chr21.9826220	chr21	9826220	R	34	73.53	26.47
chr21.9826222	chr21	9826222	R	34	67.65	32.35
chr21.9826227	chr21	9826227	R	34	70.59	29.41
chr21.9826248	chr21	9826248	R	22	27.27	72.73
chr21.9826252	chr21	9826252	R	22	81.82	18.18
chr21.9826256	chr21	9826256	R	22	0.00	100.00
chr21.9826259	chr21	9826259	R	21	61.90	38.10
chr21.9826266	chr21	9826266	R	22	0.00	100.00
chr21.9826273	chr21	9826273	R	21	57.14	42.86
chr21.9826280	chr21	9826280	R	21	0.00	100.00
chr21.9826288	chr21	9826288	R	21	80.95	19.05
chr21.9826387	chr21	9826387	R	19	0.00	100.00
chr21.9826393	chr21	9826393	R	37	0.00	100.00
chr21.9826397	chr21	9826397	R	38	0.00	100.00
chr21.9826412	chr21	9826412	R	37	51.35	48.65
chr21.9826415	chr21	9826415	R	39	0.00	100.00
chr21.9826422	chr21	9826422	R	39	0.00	100.00
chr21.9826437	chr21	9826437	R	39	48.72	51.28
chr21.9826441	chr21	9826441	R	40	60.00	40.00
chr21.9826443	chr21	9826443	R	39	48.72	51.28
chr21.9826447	chr21	9826447	R	38	76.32	23.68
chr21.9826450	chr21	9826450	R	36	63.89	36.11
chr21.9826688	chr21	9826688	F	28	85.71	14.29
chr21.9826692	chr21	9826692	F	28	67.86	32.14
chr21.9826694	chr21	9826694	F	28	0.00	100.00
chr21.9826699	chr21	9826699	F	27	44.44	55.56
chr21.9826704	chr21	9826704	F	29	0.00	100.00
chr21.9826708	chr21	9826708	F	30	0.00	100.00
chr21.9826716	chr21	9826716	F	27	0.00	100.00
chr21.9826718	chr21	9826718	F	30	0.00	100.00
chr21.9826722	chr21	9826722	F	28	0.00	100.00
chr21.9826726	chr21	9826726	F	30	73.33	26.67
chr21.9826728	chr21	9826728	F	28	0.00	100.00
chr21.9826731	chr21	9826731	F	28	0.00	100.00
chr21.9826739	chr21	9826739	F	28	0.00	100.00
chr21.9826742	chr21	9826742	F	29	55.17	44.83
chr21.9826744	chr21	9826744	F	30	73.33	26.67
chr21.9826755	chr21	9826755	F	28	42.86	57.14
chr21.9826757	chr21	9826757	F	28	71.43	28.57
chr21.9826765	chr21	9826765	F	73	0.00	100.00
chr21.9826772	chr21	9826772	F	59	0.00	100.00
chr21.9826777	chr21	9826777	F	57	0.00	100.00
chr21.9826779	chr21	9826779	F	59	0.00	100.00
chr21.9826788	chr21	9826788	F	61	73.77	26.23
chr21.9826801	chr21	9826801	F	59	62.71	37.29
chr21.9826805	chr21	9826805	F	30	0.00	100.00
chr21.9826970	chr21	9826970	F	14	0.00	100.00
chr21.9826974	chr21	9826974	F	13	53.85	46.15
chr21.9826976	chr21	9826976	F	14	71.43	28.57
chr21.9826979	chr21	9826979	F	25	0.00	100.00
chr21.9826987	chr21	9826987	F	26	92.31	7.69
chr21.9826990	chr21	9826990	F	23	73.91	26.09
chr21.9826992	chr21	9826992	F	26	76.92	23.08
chr21.9827069	chr21	9827069	F	24	50.00	50.00
chr21.9827073	chr21	9827073	F	14	14.29	85.71
chr21.9827338	chr21	9827338	F	11	0.00	100.00
chr21.9827341	chr21	9827341	F	14	42.86	57.14
chr21.9827350	chr21	9827350	F	15	86.67	13.33
chr21.9827354	chr21	9827354	F	15	0.00	100.00
chr21.9827373	chr21	9827373	F	14	0.00	100.00
chr21.9827434	chr21	9827434	F	20	75.00	25.00
chr21.9827454	chr21	9827454	F	23	56.52	43.48
chr21.9827483	chr21	9827483	F	24	0.00	100.00
chr21.9827485	chr21	9827485	F	22	90.91	9.09
chr21.9827502	chr21	9827502	F	21	52.38	47.62
chr21.9827507	chr21	9827507	F	12	0.00	100.00
chr21.9826582	chr21	9826582	R	10	20.00	80.00
chr21.9826585	chr21	9826585	R	10	0.00	100.00
chr21.9826591	chr21	9826591	R	10	80.00	20.00
chr21.9826596	chr21	9826596	R	10	0.00	100.00
chr21.9826629	chr21	9826629	R	10	0.00	100.00
chr21.9826632	chr21	9826632	R	10	100.00	0.00
chr21.9826636	chr21	9826636	R	10	40.00	60.00
chr21.9826642	chr21	9826642	R	10	60.00	40.00
chr21.9826689	chr21	9826689	R	10	0.00	100.00
chr21.9826693	chr21	9826693	R	27	55.56	44.44
chr21.9826695	chr21	9826695	R	28	42.86	57.14
chr21.9826700	chr21	9826700	R	27	59.26	40.74
chr21.9826705	chr21	9826705	R	26	7.69	92.31
chr21.9826709	chr21	9826709	R	28	0.00	100.00
chr21.9826717	chr21	9826717	R	27	66.67	33.33
chr21.9826719	chr21	9826719	R	26	73.08	26.92
chr21.9826723	chr21	9826723	R	26	0.00	100.00
chr21.9826727	chr21	9826727	R	27	0.00	100.00
chr21.9826729	chr21	9826729	R	27	85.19	14.81
chr21.9826732	chr21	9826732	R	27	0.00	100.00
chr21.9826740	chr21	9826740	R	27	0.00	100.00
chr21.9826743	chr21	9826743	R	26	46.15	53.85
chr21.9826745	chr21	9826745	R	27	44.44	55.56
chr21.9826756	chr21	9826756	R	26	61.54	38.46
